Serial Number,Tweets,Subjectivity,Polarity,Analysis
0,"What happened to CovidVaccine Vaccine patriotism Vaccine intellectualism"?,0.0,0.0,Neutral
1,COVID-19 vaccine: Pfizer withdraws Emergency Use Authorisation application in India,0.0,0.0,Neutral
2, Vaccinate2educate absolutely! Once group 4 done surely teachers and police should be next?!,0.5962962962962962,0.25,Positive
3,"Good news from The vaccine-induced antibodies were able to efficiently neutralize SARS-CoV-2,0.6125,0.6,Positive
4,Pfizer to resubmit its approval request with additional information for emergency use of its CovidVaccine,0.0,0.0,Neutral
5,The COVIDVaccine is currently being offered to people most at risk from coronavirus — including people over 80,0.45,0.25,Positive
6,"I think we're having a ""Clayton's"" CovidVaccine rollout in Australia",0.0,0.0,Neutral
7, Zimbabwe should learn from other Countries When choosing to CovidVaccine,0.375,-0.125,Negative
8,"Only 58 frontline workers turned up for the vaccine in Mumbai on Day 1 against the set target of 8,000",1.0,0.0,Neutral
9,"CovidVaccine  acceptance has been changing in the past few months.  Check out the KAP Covid page",0.175,-0.225,Negative
10,Londoners who are aged over 70 can now book their COVIDVaccine appointment without needing an invitation letter,0.4,-0.1,Negative
11,"Excellent CovidVaccine information booklet. Simple plain language, easy to understand yet doesn't skimp on details",0.636904761904762,0.3047619047619048,Positive
12,"Agra Received first dose of CovidVaccine today as part of vaccinations drive of FrontLine workers with office",0.3333333333333333,0.25,Positive
13,Peter Brookes on BorisJohnson Macron CovidVaccine Gillray – political cartoon gallery in London,0.1,0.0,Neutral
14,"“Cancer is a life sentence. But Covid is a death sentence,” said a 62-year-old cancer patient. An insightful",0.0,0.0,Neutral
15,"""A cautionary note on recall vaccination in ex-COVID-19 subjects"" Interesting pre-print COVID19 study from Milan",0.5,0.5,Positive
16,"Covid19 Vaccination Drive for Frontline Workers of Handwara Police was carried out at DPL Handwara. SPHandwara",0.0,0.0,Neutral
17,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine",0.0,0.0,Neutral
18,"Johnson&amp; Johnson Seeks Emergency Authorisation Of Single Dose CovidVaccine",0.21428571428571427,-0.07142857142857142,Negative
19,"PFizer withdraws its India application for vaccine use. The US company, which was the first drugmaker to apply for",0.3333333333333333,0.25,Positive
20,"$NVAX we haven't seen standard offering after stellar results, so I assume the new $500M ATM has been exercised in",0.23484848484848486,0.12878787878787878,Positive
21,"A tweet to say what a fantastic job the vaccination centres are doing. My mum had her CovidVaccine yesterday. Righ",0.9,0.4,Positive
22,Looking forward to writing my Blog about the Covid Vaccine and raising awareness about it to. Its very important,1.0,0.52,Positive
23,"Choose one of the five charities COVIDVaccination vaccine COVID CovidVaccine ScienceTwitter",0.0,0.0,Neutral
24, Boris &amp; the ConservativeParty have taken flack from Labour daily but nearly everyone has the same th… ,0.17500000000000002,0.03333333333333333,Positive
25, This is why I won't get a j&amp;j vaccine. Don't trust a company that kills women like lab rats.… ,0.0,0.0,Neutral
26,Here is some important information about the Covid-19 vaccine in British Sign Language courtesy of :… ,0.5,0.2,Positive
27,"In the news today: February 5, 2021
DonaldTrump ImpeachmentTrial JoeBiden POTUS JohnsonAndJohnson… ",0.0,0.0,Neutral
28,"BCM medical staff ready and willing to take CovidVaccine, new study find ",0.42613636363636365,0.1465909090909091,Positive
29,"EU calls for vote on whether Polish reforms violate EU law job  Jobsfair Jobs… ",0.0,0.0,Neutral
30,"Anyone else had their covidvaccine &amp; now waiting longer than 43 days for their 2nd jab? How are you doing?… ",0.0,0.0,Neutral
31,"Are we finally past the peak? Covid-19 vaccination day 56. covidvaccine covidvac pfizer astrazeneca moderna… ",0.25,-0.25,Negative
32,"If the queue for CovidVaccine is so long, why can’t the production of  FDA approved vaccines (with Global accep… ",0.2,-0.025,Negative
33,The CovidVaccine will always be available free of charge. The NHS will never ask you to share bank details to conf… ,0.6000000000000001,0.4,Positive
34,"The vaccines approved for use in the UK have met strict standards of safety, quality and effectiveness set out by t… ",0.0,0.0,Neutral
35,"🗣 ""I thought 'wow', this is something that's really going to make a difference to our staff, patients, and for the… ",0.6,0.15000000000000002,Positive
36,"Iran on Thursday received its first shipment of the Russian coronavirus vaccine, SputnikV The 500,000 doses wi… ",0.16666666666666666,0.125,Positive
37,"Entry for Belarussian IT workers and entrepreneurs eased

To More:- 

job  Jobs… ",0.5,0.5,Positive
38,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
39,johnsonandjohnson stock is expected to rise 12% in the coming week. CovidVaccine,0.4,-0.1,Negative
40,"Making the largest vaccination drive in the world successful is our responsibility! 
With the help of the vaccine,… ",0.95,0.9375,Positive
41,After my Mrs reaction to this covid vaccine it's safe to say you can stick that shit up your arse fuck the covid CovidVaccine,0.6333333333333333,-0.03333333333333335,Negative
42,Dr. Jonas Chanda on the measures his ministry is taking to restore confidence with a focus on the CovidVaccine .… ,0.0,0.0,Neutral
43,"CovidVaccine is SAFE
Virus &amp; Vaccine both give you antibodies.
Virus destroys ur lungs, impairs ur health &amp; might… ",0.5,0.5,Positive
44,"Vin Gupta has the right idea - the solution to the school safety debate is just go ahead &amp; vaccinate the teachers,… ",0.5357142857142857,0.2857142857142857,Positive
45,Pfizer withdraws emergency use request for its CovidVaccine in India,0.0,0.0,Neutral
46,The Covid Vaccination drive is in full swing at Asian and all our doctors and staff have been successfully vaccinat… ,0.5,0.3666666666666667,Positive
47,"inspiring to read teamgp in Liverpool responding swiftly, understanding cultural sensitivities and putting call ou… ",0.55,0.3,Positive
48,"Odisha: In order to build confidence amongst Front Line Workers that the CovidVaccine is safe, senior officials l… ",0.5,0.5,Positive
49,"Take the vaccine when it’s your turn....
 vaccineresearch covid19response covidvaccine ",0.0,0.0,Neutral
50,"Twitter didn't let me post regarding to CovidVaccine .
The subject was ""Doctors now warn about permanent damage an… ",0.3333333333333333,-0.16666666666666666,Negative
51,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
52,"  WHY would anyone with half a brain get the CovidVaccine then??
How stupid can we be???",0.5833333333333334,-0.4833333333333333,Negative
53,German minister criticises Von der Leyen over Covid vaccines 'disgrace'  news… ,0.0,0.0,Neutral
54,".  , collectors and SPs will take vaccine on February 6: Health department

CovidVaccine Odisha",0.0,0.0,Neutral
55,Sign up for our upcoming webinar on Monday to learn more about Israel's vaccination success and what we can learn f… ,0.25,0.4,Positive
56,The Pfizer BioNtech and AstraZeneca vaccines for Covid-19 are both suitable for you if you don't eat meat or pork f… ,0.75,0.55,Positive
57,Johnson &amp; Johnson seeks emergency FDA authorization for single-shot coronavirus vaccine  ,0.0,0.0,Neutral
58,Amazing work!! Well done to the whole team and just shows the difference being made to local people… ,0.43333333333333335,0.3791666666666667,Positive
59, files for emergency approval of single-dose COVIDvaccine  via ,0.0,0.0,Neutral
60,"Nearly half a crore beneficiaries in India have been vaccinated in the last 20 days

DIU India CovidVaccine… ",0.11666666666666667,-0.08333333333333333,Negative
61,ANC business arm lobbies for members to get share of covidvaccine: “someone has a refrigerated truck that can stor… ,0.0,0.0,Neutral
62,Pfizer withdraws application for Emergency Use Authorisation of Covidvaccine in India  ,0.0,0.0,Neutral
63,My turn today off to have my covidvaccine ...we can beat this coronavirus,0.0,0.0,Neutral
64,Having an underlying health condition doesn't mean we move up the COVID-19 vaccine line CovidVaccine   via ,0.6875,-0.3125,Negative
65,"Instead of building back better, EU is deepening the crisis it has been mired in for over a decade

Antonio Lettier… ",0.25,0.25,Positive
66,"If there is one thing EU citizens deserve after COVID, it is justice, especially after complete failure of its poli… ",0.5666666666666667,-0.07222222222222223,Negative
67,"  Re: Florida CovidVaccine &amp; E.O. claim those w/comorbidities under 65 eligible

False Hope… ",0.6,-0.4000000000000001,Negative
68,"Covid-19: Uttar Pradesh becomes first state to inoculate more than 5.5 lakh people.

CovidVaccine vaccination 

",0.41666666666666663,0.375,Positive
69,      _a_bill … ,0.0,0.0,Neutral
70,"Government plans Covidvaccine passports to allow foreign holidays

",0.125,-0.125,Negative
71,"Whether you are pro-vax or not, 
This is an EXPERIMENTAL vaccine
and with your consent, you are part of a trial.

P… ",0.4,0.1,Positive
72,"Whether it's coming from elected MPs, celebrity chefs or anonymous accounts: misinformation about the covidvaccine… ",0.0,0.0,Neutral
73," I'm 37 and have my CovidVaccine today, I have Psoriatic arthritis and a number of other health issues. I don'… ",0.375,-0.125,Negative
74,BREAKING: Canada s Strategy -be ridiculously SO nice to other countries so that when it comes to  life or death  th… ,0.6875,0.2375,Positive
75,"FridayMorning ""Never in the field of human conflict was so much owed by so many to so few"". Quote… ",0.225,0.12499999999999999,Positive
